athleteid,lastname,firstname,birthdate,gender,name,code,eventid,heat,lane,points,reactiontime,swimtime,split,cumswimtime,splitdistance,daytime,round,distance,relaycount,stroke,splitswimtime
100784,BORSHI,NOEL,2/13/1996,F,Albania,ALB,1,1,4,680,0.77,63.65,1,29.63,50,930,PRE,100,1,FLY,29.63
100784,BORSHI,NOEL,2/13/1996,F,Albania,ALB,1,1,4,680,0.77,63.65,2,63.65,100,930,PRE,100,1,FLY,34.02
100784,BORSHI,NOEL,2/13/1996,F,Albania,ALB,20,1,8,654,0.8,140.28,1,31.33,50,1014,PRE,200,1,FLY,31.33
100784,BORSHI,NOEL,2/13/1996,F,Albania,ALB,20,1,8,654,0.8,140.28,2,66.81,100,1014,PRE,200,1,FLY,35.48
100784,BORSHI,NOEL,2/13/1996,F,Albania,ALB,20,1,8,654,0.8,140.28,3,103.29,150,1014,PRE,200,1,FLY,36.48
100784,BORSHI,NOEL,2/13/1996,F,Albania,ALB,20,1,8,654,0.8,140.28,4,140.28,200,1014,PRE,200,1,FLY,36.99
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,1,28.64,50,948,PRE,400,1,FREE,28.64
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,2,59.37,100,948,PRE,400,1,FREE,30.73
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,3,90.48,150,948,PRE,400,1,FREE,31.11
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,4,121.89,200,948,PRE,400,1,FREE,31.41
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,5,153.61,250,948,PRE,400,1,FREE,31.72
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,6,185.36,300,948,PRE,400,1,FREE,31.75
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,7,217.46,350,948,PRE,400,1,FREE,32.1
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,2,1,7,697,0.74,248.18,8,248.18,400,948,PRE,400,1,FREE,30.72
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,12,1,3,640,0.73,118.32,1,27.83,50,1027,PRE,200,1,FREE,27.83
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,12,1,3,640,0.73,118.32,2,58.18,100,1027,PRE,200,1,FREE,30.35
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,12,1,3,640,0.73,118.32,3,88.63,150,1027,PRE,200,1,FREE,30.45
101712,MECA,KLAVIO,4/9/1996,M,Albania,ALB,12,1,3,640,0.73,118.32,4,118.32,200,1027,PRE,200,1,FREE,29.69
110360,MERIZAJ,NIKOL,8/7/1998,F,Albania,ALB,15,2,9,591,0.84,134.58,1,31.05,50,949,PRE,200,1,FREE,31.05
110360,MERIZAJ,NIKOL,8/7/1998,F,Albania,ALB,15,2,9,591,0.84,134.58,2,65.06,100,949,PRE,200,1,FREE,34.01
110360,MERIZAJ,NIKOL,8/7/1998,F,Albania,ALB,15,2,9,591,0.84,134.58,3,100.18,150,949,PRE,200,1,FREE,35.12
110360,MERIZAJ,NIKOL,8/7/1998,F,Albania,ALB,15,2,9,591,0.84,134.58,4,134.58,200,949,PRE,200,1,FREE,34.4
110360,MERIZAJ,NIKOL,8/7/1998,F,Albania,ALB,23,2,3,586,0.78,62.19,1,29.5,50,930,PRE,100,1,FREE,29.5
110360,MERIZAJ,NIKOL,8/7/1998,F,Albania,ALB,23,2,3,586,0.78,62.19,2,62.19,100,930,PRE,100,1,FREE,32.69
115671,HOXHA,SIDNI,1/6/1992,M,Albania,ALB,19,7,7,803,0.7,50.45,1,23.82,50,943,PRE,100,1,FREE,23.82
115671,HOXHA,SIDNI,1/6/1992,M,Albania,ALB,19,7,7,803,0.7,50.45,2,50.45,100,943,PRE,100,1,FREE,26.63
115671,HOXHA,SIDNI,1/6/1992,M,Albania,ALB,28,8,5,758,0.68,22.93,1,22.93,50,930,PRE,50,1,FREE,22.93
109109,DJENDOUCI,RIYAD,1/8/1988,M,Algeria,ALG,35,3,2,690,0.67,27.2,1,27.2,50,954,PRE,50,1,BACK,27.2
115991,AFANE,ABDELKADER MOHAMMED,7/5/1994,M,Algeria,ALG,14,5,3,760,0.69,29.17,1,29.17,50,930,PRE,50,1,BREAST,29.17
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,1,28.7,50,1030,PRE,800,1,FREE,28.7
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,2,59.51,100,1030,PRE,800,1,FREE,30.81
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,3,91.1,150,1030,PRE,800,1,FREE,31.59
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,4,122.55,200,1030,PRE,800,1,FREE,31.45
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,5,154.4,250,1030,PRE,800,1,FREE,31.85
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,6,186.27,300,1030,PRE,800,1,FREE,31.87
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,7,218.31,350,1030,PRE,800,1,FREE,32.04
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,8,250.15,400,1030,PRE,800,1,FREE,31.84
100542,ARIAS DOURDET,POL,8/8/1996,M,Andorra,AND,17,1,3,704,0.7,508.11,9,282.42,450,1030,PRE,800,1,FREE,32.27
